sim_5781,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.0,0,166,1656,230,1640,1943,1179,974,0,0,1818,131,0,0,193,146,252,93,157,586,1,0,252,441,710,118,0,172,44,0,69,32,416,0,405,92,0,30,0,802,61,71,12,102,474,185,43,0,201,202,9,98,89,0,0,47,0,0,224,150
0.099975586,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,177,0,0,4,0,0,0,0,11,0,0,10,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,91,0,0,0,3,0,0,0,0,0
0.19995117,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,112,0,0,0,0,16,0,0,0,0,0,34,0,0,0,0,0,0,0,8,0,0,0,142,0,0,0,0,0
0.30004883,0,0,0,0,0,0,0,0,0,0,0,0,934,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,72,0,0,0
0.39990234,0,0,0,0,0,0,0,0,5,408,0,0,0,307,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,6,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,456,0,0,0,0,0,18,0,0,2,129,0,0
0.5,579,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,300,0,0,166,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,0,0,0,0,0
0.60009766,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,44,0,0,0,0,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
0.7001953,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,5,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7998047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.89990234,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
